"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","技能接口可访问","","Mon Jul 13 22:01:04 CST 2026","skipped","Mon Jul 13 22:01:04 CST 2026","TestSecurity","test_stats_security","",""
"","3","尝试读取 /etc/passwd → 403","","Mon Jul 13 22:00:46 CST 2026","passed","Mon Jul 13 22:00:46 CST 2026","TestFileSecurity","test_projects_files","",""
"","0","项目排名(累计)","","Mon Jul 13 22:00:46 CST 2026","skipped","Mon Jul 13 22:00:46 CST 2026","TestStats","test_stats_security","",""
"","0","获取消息历史","","Mon Jul 13 22:00:14 CST 2026","skipped","Mon Jul 13 22:00:14 CST 2026","TestChatMessages","test_chat","",""
"","20","无Token返回401","","Mon Jul 13 21:59:49 CST 2026","passed","Mon Jul 13 21:59:49 CST 2026","TestToken","test_auth","",""
"","3","未登录不能访问项目","","Mon Jul 13 22:00:32 CST 2026","passed","Mon Jul 13 22:00:32 CST 2026","TestProjects","test_projects_files","",""
"","3","未登录不能下载","","Mon Jul 13 22:00:45 CST 2026","passed","Mon Jul 13 22:00:45 CST 2026","TestFiles","test_projects_files","",""
"","5","上传图片成功","","Mon Jul 13 22:00:44 CST 2026","passed","Mon Jul 13 22:00:44 CST 2026","TestFiles","test_projects_files","",""
"","52","项目排名(今日)","","Mon Jul 13 22:00:46 CST 2026","passed","Mon Jul 13 22:00:46 CST 2026","TestStats","test_stats_security","",""
"","461","最新文件打包下载","","Mon Jul 13 22:00:45 CST 2026","passed","Mon Jul 13 22:00:45 CST 2026","TestFiles","test_projects_files","",""
"","25","伪造Token返回401","","Mon Jul 13 21:59:49 CST 2026","passed","Mon Jul 13 21:59:49 CST 2026","TestToken","test_auth","",""
"","0","发送消息并获取流式回复","","Mon Jul 13 22:00:08 CST 2026","skipped","Mon Jul 13 22:00:08 CST 2026","TestChatMessages","test_chat","",""
"","0","Token验证当前用户","","Mon Jul 13 21:59:43 CST 2026","skipped","Mon Jul 13 21:59:43 CST 2026","TestToken","test_auth","",""
"","0","创建聊天会话","","Mon Jul 13 21:59:50 CST 2026","skipped","Mon Jul 13 21:59:50 CST 2026","TestChatSessions","test_chat","",""
"","2","尝试读取系统文件 → 403","","Mon Jul 13 22:00:46 CST 2026","passed","Mon Jul 13 22:00:46 CST 2026","TestFileSecurity","test_projects_files","",""
"","24","API文档可访问","","Mon Jul 13 22:01:10 CST 2026","passed","Mon Jul 13 22:01:10 CST 2026","TestSecurity","test_stats_security","",""
"","25","无效用户 → 404","","Mon Jul 13 21:59:49 CST 2026","passed","Mon Jul 13 21:59:49 CST 2026","TestForgotPassword","test_auth","",""
"","0","删除会话","","Mon Jul 13 22:00:02 CST 2026","skipped","Mon Jul 13 22:00:02 CST 2026","TestChatSessions","test_chat","",""
"连续发 12 次 → 第 11 次应该 429","755","登录频率限制","","Mon Jul 13 21:59:42 CST 2026","passed","Mon Jul 13 21:59:43 CST 2026","TestLogin","test_auth","",""
"","22","超大请求体 → 拒绝","","Mon Jul 13 22:01:04 CST 2026","passed","Mon Jul 13 22:01:04 CST 2026","TestSecurity","test_stats_security","",""
"","0","上传文件成功","","Mon Jul 13 22:00:32 CST 2026","skipped","Mon Jul 13 22:00:32 CST 2026","TestFiles","test_projects_files","",""
"尝试读取 /etc/shadow → 403","3","路径遍历被阻止","","Mon Jul 13 22:00:45 CST 2026","passed","Mon Jul 13 22:00:45 CST 2026","TestFiles","test_projects_files","",""
"","0","列出会话","","Mon Jul 13 21:59:56 CST 2026","skipped","Mon Jul 13 21:59:56 CST 2026","TestChatSessions","test_chat","",""
"","4","下载已存在文件","","Mon Jul 13 22:00:45 CST 2026","passed","Mon Jul 13 22:00:45 CST 2026","TestFiles","test_projects_files","",""
"","25","非法用户名 → 400","","Mon Jul 13 21:59:49 CST 2026","passed","Mon Jul 13 21:59:49 CST 2026","TestRegister","test_auth","",""
"","0","获取项目列表","","Mon Jul 13 22:00:20 CST 2026","skipped","Mon Jul 13 22:00:20 CST 2026","TestProjects","test_projects_files","",""
